
('104111', '15401', 'D3', 'Kebidanan - 15401'),
('104111', '15401', 'D3', 'Kebidanan - 15401'),
('024115', '15401', 'D3', 'Kebidanan - 15401'),
('024115', '15401', 'D3', 'Kebidanan - 15401'),
('064074', '15401', 'D3', 'Kebidanan - 15401'),
('064074', '15401', 'D3', 'Kebidanan - 15401'),
('094112', '15401', 'D3', 'Kebidanan - 15401'),
('094112', '15401', 'D3', 'Kebidanan - 15401'),
('074127', '15401', 'D3', 'Kebidanan - 15401'),
('074127', '15401', 'D3', 'Kebidanan - 15401'),
('044241', '15401', 'D3', 'Kebidanan - 15401'),
('044241', '15401', 'D3', 'Kebidanan - 15401'),
('104119', '15401', 'D3', 'Kebidanan - 15401'),
('104119', '15401', 'D3', 'Kebidanan - 15401'),
('084028', '15401', 'D3', 'Kebidanan - 15401'),
('084028', '15401', 'D3', 'Kebidanan - 15401'),
('074096', '15401', 'D3', 'Kebidanan - 15401'),
('074096', '15401', 'D3', 'Kebidanan - 15401'),
('044188', '15401', 'D3', 'Kebidanan - 15401'),
('044188', '15401', 'D3', 'Kebidanan - 15401'),
('064132', '15401', 'D3', 'Kebidanan - 15401'),
('064132', '15401', 'D3', 'Kebidanan - 15401'),
('014138', '15401', 'D3', 'Kebidanan - 15401'),
('014138', '15401', 'D3', 'Kebidanan - 15401'),
('124016', '15401', 'D3', 'Kebidanan - 15401'),
('124016', '15401', 'D3', 'Kebidanan - 15401'),
('014183', '15401', 'D3', 'Kebidanan - 15401'),
('014183', '15401', 'D3', 'Kebidanan - 15401'),
('044129', '15401', 'D3', 'Kebidanan - 15401'),
